name,url,group,country,language,quality,category,tags
Vizion Plus,https://tringliveviz.akamaized.net/delta/105/out/u/qwaszxerdfcvrtryuy.m3u8,General,Albania,Albanian,,General,general
News 24,https://tv.balkanweb.com/news24/livestream/playlist.m3u8,News,Albania,Albanian,,News,news
A2 CNN,https://tv.a2news.com/live/smil:a2cnnweb.stream.smil/playlist.m3u8,News,Albania,Albanian,,News,news
Ora News,https://live1.mediadesk.al/oranews.m3u8,News,Albania,Albanian,,News,news
Euronews,https://gjirafa-video-live.gjirafa.net/gjvideo-live/2dw-zuf-1c9-pxu/index.m3u8,News,Albania,Albanian,,News,news
TNT Sports Premium,http://38.250.127.17:9800/play/a06g/index.m3u8,Sports,Argentina,Spanish,,Sports,sports
Telefe,http://38.7.195.43:8000/play/a0vc,General,Argentina,Spanish,,General,general
El Trece,https://live-01-02-eltrece.vodgc.net/eltrecetv/index.m3u8,General,Argentina,Spanish,,General,general
TyC Sports,https://joy.nx-pc.edge-apps.net/hls/o5b6i-gacle-23i3p-oef1_1080p/index.m3u8,Sports,Argentina,Spanish,,Sports,sports
GEN TV,https://srv3.zcast.com.br/gentv/gentv/playlist.m3u8,General,Argentina,Spanish,,General,general
Paka Paka,http://38.250.127.17:9800/play/a0am/index.m3u8,Kids,Argentina,Spanish,,Kids,kids
First Channel America,https://amtv.tulixcdn.com/amtv4/am4abr/index.m3u8,General,Armenia,Armenian,,General,general
First Channel News,https://amtv.tulixcdn.com/amtv3/am3abr/index.m3u8,News,Armenia,Armenian,,News,news
First Channel International,https://amtv.tulixcdn.com/amtv2/am2abr/index.m3u8,General,Armenia,Armenian,,General,general
ATV,https://strm.hdtvizlecanli.com/live/atv.m3u8,General,Austria,German,,General,general
ATV 2,https://viamotionhsi.netplus.ch/live/eds/atv/browser-dash/atv.mpd,General,Austria,German,,General,general
ORF 1,https://viamotionhsi.netplus.ch/live/eds/orf1/browser-dash/orf1.mpd,General,Austria,German,,General,"general,public"
ORF 2,https://viamotionhsi.netplus.ch/live/eds/orf2/browser-dash/orf2.mpd,General,Austria,German,,General,"general,public"
ORF III,http://212.95.30.186:9981/stream/channelid/817337321?profile=pass,General,Austria,German,,Culture,"culture,public"
ORF Sport+,http://212.186.45.34:9981/stream/channelid/906723447?profile=pass,Sports,Austria,German,,Sports,"sports,public"
ORF Kids,https://web12.mdn.ors.at/orf/web12/qxb/manifest.m3u8,Kids,Austria,German,,Kids,"kids,public"
Puls 4,http://212.95.30.186:9981/stream/channelid/1630575394?profile=pass,General,Austria,German,,General,general
Puls 24,http://212.186.45.34:9981/stream/channelid/1840087075?profile=pass,News,Austria,German,,News,news
ServusTV HD,https://viamotionhsi.netplus.ch/live/eds/servustvhd/browser-HLS8/servustvhd.m3u8,General,Austria,German,HD,General,general
Tirol TV,http://212.186.45.34:9981/stream/channelid/308149845?profile=pass,Regional,Austria,German,,Regional,regional
ProSieben Austria,http://212.95.30.186:9981/stream/channelid/719855917?profile=pass,General,Austria,German,,General,general
Kabel Eins Austria,http://212.95.30.186:9981/stream/channelid/1665759621?profile=pass,General,Austria,German,,General,general
ABC TV,https://c.mjh.nz/abc-nsw.m3u8,General,Australia,English,,General,"public,general"
ABC Entertains,https://c.mjh.nz/abc-me.m3u8,Entertainment,Australia,English,,Entertainment,entertainment
ABC Kids,https://c.mjh.nz/abc-kids.m3u8,Kids,Australia,English,,Kids,kids
ABC Family,https://c.mjh.nz/abc-tv-plus.m3u8,Family,Australia,English,,Family,family
ABC News,https://c.mjh.nz/abc-news.m3u8,News,Australia,English,,News,news
SBS,http://115.69.40.212:55555/SBS%20ONE%20HD,General,Australia,English,,General,"multicultural,general"
SBS Viceland,http://44.32.200.212:5004/auto/v31,Entertainment,Australia,English,,Entertainment,entertainment
SBS World Watch,http://44.32.200.212:5004/auto/v35,News,Australia,English,,News,"news,world"
SBS World Movie,http://44.32.200.212:5004/auto/v32,Movies,Australia,English,,Movies,movies
